Address,City-State-Zip,Neighborhood,Bed-bath,Offer-price,Co-owners,Monthly-cost,Tax-savings,Down-payment,Description,Agent,Gallery-url,Success,source_url,source_Address,source_City-State-Zip,source_Neighborhood,source_Bed-bath,source_Offer-price,source_Co-owners,source_Monthly-cost,source_Tax-savings,source_Down-payment,source_Description,source_Agent,source_Gallery-url,,lat,lng
144 Putnam St,"San Francisco, CA, 94110",Neighborhood: Bernal Heights,"3 bd, 1 ba","$1,045,000 ",3,"$1,307 ","$7,559 ","$34,833 ","This lovely Bernal home has it all: lush gardens front and back, a spacious floor plan, a walk out deck with views of the southern hills, and an easy stroll to all the shops, restaurants and fun that Cortland has to offer! Numerous large windows and a skylight channel sunshine to gleaming hardwood floors and a darling tiled bathroom. A bright, renovated eat-in kitchen with quartz counters, a custom backsplash, and herringbone porcelain tile flooring lead to a sunny deck, patio, and a magnificent garden with a custom chicken coop built from reclaimed wood. Enjoy the delightful living room, and three sizable bedrooms, a most useful laundry room, ample storage, and one car parking. Life is grand at 144 Putnam in Bernal Heights!","Listing provided by Rob J Costabile, Keller Williams San Francisco",http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324323,Succeeded,https://app.realtaasa.com/homes/property/CA/San-Francisco/144-Putnam-St-94110/c294c89e1f493d135841,,,,,,,,,,,,,,37.737609,-122.411119
849 44th Ave,"San Francisco, CA, 94121",Neighborhood: Outer Richmond,"3 bd, 1 ba","$1,049,000 ",3,"$1,312 ","$7,588 ","$34,967 ","Pride of ownership - Beautifully maintained, recently remodeled Outer Richmond single family residence in the same family for almost 60 years. Featuring wonderfully preserved original wood floors, wood burning fireplace, open living/dining area, and an incredibly large and well-maintained yard (with deck off the main living area), this 3 bed, 1 bath home is ideal for those seeking a wonderful property in one of San Francisco's hottest neighborhoods.   Kitchen and bath remodeled in 2017 adding new cabinets, marble countertops, tile & wood flooring, new appliances, new tub, toilet, vanity, and updated electrical. Situated on a 3,598 square foot lot with a 30 foot frontage. Large garage with expansion potential.  Close to public transport.","Listing provided by Alexander T Clark, Keller Williams San Francisco",http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324328,Succeeded,https://app.realtaasa.com/homes/property/CA/San-Francisco/849-44th-Ave-94121/a7f6b763a5fcf9646863,,,,,,,,,,,,,,37.772563,-122.504944
476 Joost Ave,"San Francisco, CA, 94127",Neighborhood: Sunnyside,"3 bd, 2 ba","$1,075,000 ",3,"$1,344 ","$7,776 ","$35,833 ","Excellent Sunnyside Location. Kitchen remodeled with granite and stainless steel appliances. Other features include; Hardwood and tile flooring, fireplace and a two car garage. Great opportunity to add your touches to make this home shine!","Listing provided by Suzanne E Rocha, Realty World Cal Home",http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324179,Succeeded,https://app.realtaasa.com/homes/property/CA/San-Francisco/476-Joost-Ave-94127/228e503e598999b54d27,,,,,,,,,,,,,,37.732572,-122.446099
1951 9th Ave,"San Francisco, CA, 94116",Neighborhood: Golden Gate Heights,"3 bd, 2 ba","$1,089,000 ",3,"$1,362 ","$7,878 ","$36,300 ","Garden Lover's Oasis! 2BR home w/luxurious, spacious guest quarters down w/separate entrance (3rd bedroom & 2nd bath down). Gumwood, Moorish arches, moldings, views from living room, hardwood floors. Downstairs: stained concrete floors w/radiant heat, chef's kitchen, southwestern motif / clay plaster walls, stone tile. Rooms down are perfect for visitors / extended family / office. Amazing garden with meyer lemon tree, roses & dozens of lush plants, flagstone pathways, hot tub, outdoor hot-and-cold shower & multiple seating areas ws to the Bay. Perfect for alfresco dining/entertaining/peaceful respite from the city. Across from JP Murphy Playground & half block to gates of Forest Hill. A short walk to 9th-and-Irving retail district.","Listing provided by Hugh D Groocock, Zephyr Real Estate",http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324239,Succeeded,https://app.realtaasa.com/homes/property/CA/San-Francisco/1951-9th-Ave-94116/d9696bde0d58d304c6fe,,,,,,,,,,,,,,37.7518843,-122.4657047
490 Joost Ave,"San Francisco, CA, 94127",Neighborhood: Sunnyside,"3 bd, 1 ba","$1,195,000 ",3,"$1,494 ","$8,644 ","$39,833 ","Situated on a quaint tree-lined street in Sunnyside, 490 Joost Ave is a tastefully remodeled 3BD/1BA mid-century gem with sparkling city views! Originally built in 1958, this light-filled home offers 3BDs on one level, completely remodeled gourmet kitchen with gas stove and cork flooring, remodeled bath with skylight, 8-foot ceilings, and hardwood floors. Ample closet and storage space throughout. The beautifully landscaped front yard gives this home wonderful street presence. The backyard area, accessed from the garage level, is very private, and perfect for BBQs & entertaining. The garage accommodates 2 cars plus plenty of storage. Expansion potential! Located near Glen Park BART, tech shuttles, Ocean/Monterey Blvd, Safeway & Whole Foods!","Listing provided by Christiane Gigas, Alain Pinel, REALTORSŒ¬",http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324285,Succeeded,https://app.realtaasa.com/homes/property/CA/San-Francisco/490-Joost-Ave-94127/4a4dd8af1d20371a5532,,,,,,,,,,,,,,37.732571,-122.446444
29 Levant,"San Francisco, CA, 94114",Neighborhood: Corona Heights,"3 bd, 2 ba","$1,195,000 ",3,"$1,494 + $64 (HOA)","$8,644 ","$39,833 ","Delightful and rarely available condominium in a detached, 2-unit building in beautiful Corona Heights. This home has 3 bedrooms, 2 bathrooms, in-unit washer/dryer, garage parking, a driveway for extra parking and a landscaped yard.  The home's many windows allow for much natural light, and views of Bernal Heights and the Bay.  French doors lead from the kitchen and one of the bedrooms to the spacious, sunny deck. The location is serene, with access to tennis courts and dog-friendly parks, and yet is still close to the bars, restaurants and shopping in Eureka Valley, Cole Valley and Haight Ashbury.","Listing provided by Shawn M Case, Core7 Real Estate",http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324245,Succeeded,https://app.realtaasa.com/homes/property/CA/San-Francisco/29-Levant-94114/4c4c80b3bdb963eec496,,,,,,,,,,,,,,37.7645806,-122.4421962
4045 Ocean Ave,"San Francisco, CA, 94132",Neighborhood: Lake Shore,"3 bd, 2 ba","$1,195,000 ",3,"$1,494 ","$8,644 ","$39,833 ","This well-maintained, detached corner home offers three bedrooms and two baths. From the foyer, you enter the bright living room with the same hardwood floors found throughout, a working fireplace is the focal point of the room. The adjacent dining room is ideal for family dinners or holiday gatherings. The remodeled kitchen offers ample cabinetry and counter space. An updated full bath is conveniently located on this level. The upper floor includes three bedrooms and a full, renovated bath. The two car garage offers side-by-side parking and plenty of additional storage. With an ideal layout in a great location and flat yard, this lovely home offers easy access to Stern Grove, Lakeside village, neighborhood schools and so many amenities.","Listing provided by Lee Ann Monfredini, Compass",http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324354,Succeeded,https://app.realtaasa.com/homes/property/CA/San-Francisco/4045-Ocean-Ave-94132/98344b4eecee871c9941,,,,,,,,,,,,,,37.7320204,-122.4877642
28 Winfield St,"San Francisco, CA, 94110",Neighborhood: Bernal Heights,"3 bd, 1 ba","$1,295,000 ",3,"$1,619 ","$9,368 ","$43,167 ","Situated on one of Bernal's prime blocks with amazing downtown views, this 3 bedroom/1 bath single family home brims with light and potential.Beside the front door is an outdoor space with a steel frame living wall filled with succulents & ferns.The main level features 3 bedrooms, a remodeled bath, and an updated kitchen and dining area with gorgeous views spanning the tips of the Golden Gate Bridge, downtown, and the East Bay hills.Enjoy a glass of wine as you watch the sun set in the evening on the deck off the dining room.  On the garage level is an unwarranted two-level in-law unit with views from both levels. This unit provides options as a guest unit or an opportunity to expand the home and incorporate the space into the main floor.","Listing provided by Suhl Chin, Zephyr Real Estate",http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324240,Succeeded,https://app.realtaasa.com/homes/property/CA/San-Francisco/28-Winfield-St-94110/5cc6ae995c0d5b0e9289,,,,,,,,,,,,,,37.7449017,-122.4172875
396 Guerrero St,"San Francisco, CA, 94103",Neighborhood: Mission Dolores,"3 bd, 2 ba","$1,295,000 ",3,"$1,619 + $131 (HOA)","$9,368 ","$43,167 ","396 Guerrero is a &#8776;1600 sqft, top-floor, elegant + spacious, light-filled condominium with 3 bedrooms + 1.5 baths that's historic + modern. 396's refined style marries its 9.5-ft ceilings, 1907 architectural heritage wood floors, glass transoms + millwork with modern conveniences like in-unit laundry, a high-end gas kitchen with stainless steel appliances, a new large full bath with dual-vanity sinks, rain showerhead over an extra-long tub and a smart 1/2 bath that's stylish + efficient. 396 has updated lighting, high-end finishes + plenty of storage. Among more, there's a pantry, skylights, wood wall feature, marble countertops + custom new-curved glass windows. Central + vibrant location with near-perfect Walk, Transit + Bike Scores","Listing provided by Kevin K Ho, Vanguard Properties",http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324343,Succeeded,https://app.realtaasa.com/homes/property/CA/San-Francisco/396-Guerrero-St-94103/2ef97942c84d39dde520,,,,,,,,,,,,,,37.7649803,-122.4243613
650 Chestnut St #405,"San Francisco, CA, 94133",Neighborhood: North Beach,"3 bd, 2 ba","$1,449,000 ",3,"$1,812 + $239 (HOA)","$10,482 ","$48,300 ","Built in 1995, this light-filled top-floor condo with Alcatraz views is right in the heart of historic North Beach. This turn-key home has everything even the most discriminating buyer would desire: walkability, a luxurious open kitchen with upgraded finishes and plenty of space for entertaining. Sleek custom built-ins provide discreet yet ample storage throughout, rarely seen in San Francisco. In North Beach, where parking can be tricky, this unit has two deeded spots for cars with direct access to the elevator. Only steps from fantastic shops, restaurants, and charming cafes, Villa North Beach also comes with plenty of amenities, including a roof-deck with 360 degree views from Downtown to the Bay.","Listing provided by Ruth Krishnan, Paragon Real Estate Group",http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324249,Succeeded,https://app.realtaasa.com/homes/property/CA/San-Francisco/650-Chestnut-St-405-94133/7ddfa1b7f552a7647a79,,,,,,,,,,,,,,37.803934,-122.414117
2172 Fell St,"San Francisco, CA, 94117",Neighborhood: North Panhandle,"3 bd, 2 ba","$1,589,000 ",3,"$1,987 + $100 (HOA)","$11,495 ","$52,967 ","This 3 bed / 2 bath airy, light-filled, full-floor Penthouse condo is located on the quiet, one-way block of Fell St.  Spacious open plan living and dining spaces boast dark wood floors with radiant heating, high ceilings, tall windows, and leafy views. The fireplace makes for cozy gatherings and a private view roof deck allows for great entertaining. Eat-in kitchen features stainless steel appliances and breakfast bar. The master suite enjoys custom closets, dual vanities, and jetted spa tub with separate stall shower. Just steps to GG Park, Cole Valley's local eateries, and the NOPA Divisadero corridor. Close to MUNI & tech buses. Skylights throughout, 2 car parking, low HOAs, and additional storage make this the perfect home. Don't miss!","Listing provided by Ron Abta, Paragon Real Estate Group",http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324256,Succeeded,https://app.realtaasa.com/homes/property/CA/San-Francisco/2172-Fell-St-94117/e982b48a9bab4e90af30,,,,,,,,,,,,,,37.772267,-122.453582
2125 Bryant St #308,"San Francisco, CA, 94110",Neighborhood: Inner Mission,"3 bd, 2.5 ba","$1,695,000 ",3,"$2,120 + $155 (HOA)","$12,261 ","$56,500 ","Contemporary design, beautiful light, and modern finishes make for the ultimate San Francisco home. This sophisticated and smart penthouse at Union SF offers 3 bedrooms, 2.5 bathrooms, 2 terraces, and two-car parking. The main level of the home is excellent for entertaining. The open concept offers a seamless blend for transitional living. A spacious living room and dining room are flooded with natural light and views of Twin Peaks. The chef's kitchen offers Viking appliances, Carrara marble, and a moveable kitchen island. Off the kitchen is a terrace perfect for enjoying your morning coffee or watching urban life pass on by. Air conditioning, in-unit laundry, additional storage, and 2-car parking complete this one-of-a-kind home.","Listing provided by Matthew J Woebcke, Climb Real Estate",http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324292,Succeeded,https://app.realtaasa.com/homes/property/CA/San-Francisco/2125-Bryant-St-308-94110/9825fa56c018d4743e2c,,,,,,,,,,,,,,37.7596546,-122.4095583
110 Montcalm St,"San Francisco, CA, 94110",Neighborhood: Bernal Heights,"3 bd, 2 ba","$1,790,000 ",3,"$2,239 ","$12,949 ","$59,667 ","Coveted North Slope Bernal Heights expanded/updated cottage, 1,700 Sq.Ft, built c.1900.  3BR, 2 full BA on 2 floors, Spectacular City views, BBQ/cocktail deck, and 2 additional decks nicely designed to bring the outdoors into the natural flow of this resort-like home. Versatile open floor plan on main floor boasting Den with Bathroom, galley-style Kitchen, Dining area, and Family Room with wall to wall City view windows. 3BR and one full BA on lower level. Terraced garden a botanist's delight. An Island of serenity behind a craftsman privacy fence along the entire width of the extra wide double lot. Wonderful quiet corner of peaceful Bernal Heights neighborhood","Listing provided by Dennis P Ruel, Coldwell Banker Res. R.E. Svcs",http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324406,Succeeded,https://app.realtaasa.com/homes/property/CA/San-Francisco/110-Montcalm-St-94110/597c164df8118377258f,,,,,,,,,,,,,,37.7465396,-122.4070828
3583 Sacramento St,"San Francisco, CA, 94118",Neighborhood: Presidio Heights,"3 bd, 2 ba","$1,799,000 ",3,"$2,250 + $89 (HOA)","$13,014 ","$59,967 ","This gorgeous, remodeled Presidio Heights condo has it all: stellar location, charm, great light, low HOA, outdoor space and parking! The open living room, dining area and kitchen comprise one great room that is perfect for entertaining. Two large windows flood the space with natural light. The remodeled kitchen has plentiful cabinet space and a great breakfast bar. Down the hall, the airy master bedroom has French doors that lead out to a sunny private deck. There's an en suite master bathroom with dual vanity sinks. The home offers two additional bedrooms with great closets and another modern, bright bathroom. Deeded parking, an in-unit washer and dryer and a newly turfed shared backyard complete the property.","Listing provided by Tyler Stewart, Compass",http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324319,Succeeded,https://app.realtaasa.com/homes/property/CA/San-Francisco/3583-Sacramento-St-94118/14aa56f3e1ca728a79f5,,,,,,,,,,,,,,37.7874639,-122.451542
152 Fairmount St,"San Francisco, CA, 94131",Neighborhood: Glen Park,"3 bd, 2 ba","$1,995,000 ",3,"$2,495 ","$14,432 ","$66,500 ","Charming Victorian SFH that sits on a deep lot with breathtaking downtown SF views. This cottage like home features 3beds,2baths, wood floors throughout, & original Victorian details. The home is split over two levels, the main floor holds a formal living area, dining room, & 2 charming bedrooms with easy access to the main bathroom. The kitchen is remodeled & opens onto a wonderful back deck with great views and perfect for outdoor entertaining. A spiral staircase leads from the kitchen to the lower level with a dedicated master-suite, bathroom, and ensuite living area. This lower level living area could also be used as office space and opens to the sunny, flat, manicured backyard. 1 car garage completes the home.","Listing provided by Eddie O'Sullivan, Keller Williams San Francisco",http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324238,Succeeded,https://app.realtaasa.com/homes/property/CA/San-Francisco/152-Fairmount-St-94131/2aaf51c9f8f622994bf2,,,,,,,,,,,,,,37.7389943,-122.4266784
148 Lower Ter,"San Francisco, CA, 94114",Neighborhood: Corona Heights,"3 bd, 3.5 ba","$1,995,000 ",3,"$2,495 + $148 (HOA)","$14,432 ","$66,500 ","Penthouse condo ws to the water + more.  Feels like a single-family home. Light & Bright w/an open space ideal for entertaining.  Main lvl has 1BR/1BA, Pwdr Rm, LR, DR, Kit + family rm. WB FP in LR. Kit has caesarstone counters & gourmet appliances. Top lvl opens w/dramatic skylight above the staircase. 2 master suites ea. ws, decks, fireplaces. Laundry in closet is located on this floor. The unit has 2 car tandem parking as well as storage on the grg lvl. The prime Corona Heights location provides easy access to the Castro or Cole Valley. Muni Metro, Tech Shuttles and a plethora of shops and restaurants are easily accessed.","Listing provided by Jim L Laufenberg, Coldwell Banker",http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324262,Succeeded,https://app.realtaasa.com/homes/property/CA/San-Francisco/148-Lower-Ter-94114/86010eadb33aedd2c73c,,,,,,,,,,,,,,37.763469,-122.442364
2241 Sacramento St #5,"San Francisco, CA, 94115",Neighborhood: Pacific Heights,"3 bd, 2.5 ba","$2,195,000 ",3,"$2,745 + $292 (HOA)","$15,878 ","$73,167 ","Handsomely detailed condo situated on the top floor of a stately 8 unit Edwardian. Detached on three sides, this striking 3 bdrm, 2.5 ba residence is bathed in abundant natural light w/sweeping south & west views. Its spacious half-floor layout is ideal for elegant entertaining while its impressive architectural elements - high ceilings, crown moldings, & rich hdwd flrs - infuse the home with timeless style and character. Formal LR w/fplc + FDR. Remodeled kitchen w/breakfast area & ample cabinetry. Master suite w/2 walk-in closets & designer bath. Two add'l bedrooms, separate laundry room, deeded storage, elevator, common south garden & 1 car pkg.  Easy access to the boutiques and fine dining of Fillmore St + Lafayette & Alta Plaza Parks.","Listing provided by Theresa Collins, Paragon Real Estate Group",http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324273,Succeeded,https://app.realtaasa.com/homes/property/CA/San-Francisco/2241-Sacramento-St-5-94115/950d617dc5133afd52dc,,,,,,,,,,,,,,37.790104,-122.429743
861 27th St,"San Francisco, CA, 94131",Neighborhood: Noe Valley,"3 bd, 2.5 ba","$2,249,000 ",3,"$2,813 ","$16,269 ","$74,967 ","This amazing Noe Valley mid century style home features a perfect floor plan with 3 Bedrooms on the same floor, 2.5 Bathrooms, separate den/office, generous open plan great room with spacious living and dining areas, and an incredible walk-out backyard with amazing City and Bay views. Offering a sleek modern faade, this beautiful home showcases wonderful details including refinished walnut-stained oak floors, modern lighting, skylights, designer finishes, and a large two car garage. Located in highly coveted Noe Valley and overlooking Douglass Dog Park, 861 27th Street is just steps to excellent restaurants, lively cafes, and chic boutiques of 24th Street.","Listing provided by Greg Fulford, Vanguard Properties",http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324335,Succeeded,https://app.realtaasa.com/homes/property/CA/San-Francisco/861-27th-St-94131/194369c95e811ef1a894,,,,,,,,,,,,,,37.745977,-122.438844
225 Laguna St,"San Francisco, CA, 94102-5622",Neighborhood: Hayes Valley,"3 bd, 2.5 ba","$2,395,000 ",3,"$2,995 + $102 (HOA)","$17,325 ","$79,833 ","This expansive three bedroom, two and  bath two-level condominium with deeded garaged parking has been meticulously remodeled and expanded while retaining the elegance and grandeur of the original structure.  Offering includes an enormous Master Suite with private street entrance, open plan living area with seamless indoor/outdoor flow and direct access to a large deeded deck. This special double-wide parcel features these common elements on undeveloped land that runs from front to back on the lot: a sunny light-filled turfed rear yard, an elevated, landscaped garden and planters, and at street level, gated 2+ car side by side parking.","Listing provided by John C Farnham, Pacific Union International Inc.",http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324142,Succeeded,https://app.realtaasa.com/homes/property/CA/San-Francisco/225-Laguna-St-94102/d95252f40b1ff88592b4,,,,,,,,,,,,,,37.7732249,-122.42591
407 Missouri St,"San Francisco, CA, 94107",Neighborhood: Potrero Hill,"3 bd, 2 ba","$2,495,000 ",3,"$3,120 ","$18,048 ","$83,167 ","Inspiration Point.  Atop the vibrant Potrero Hill, you will find a showcase of designer finishes that will inspire and delight you.  It is Modern redefined.  Upon entering the house, light beams through a well-placed skylight.  The open Great Room'' greets your eye for the dramatic.  There is a grand island for the kitchen that centers the room and the open living room and outdoor walk-out deck will tickle your sense of entertainment possibilities.  There are two well-appointed bedrooms on this main level.  Heading downstairs takes you to the master suite.  There is a dramatic master bathroom and enormous closet with outside access to a zen oasis just outside. In addition, there is one large car, tons of storage and room for expansion up.","Listing provided by Butch Haze, Compass",http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324254,Succeeded,https://app.realtaasa.com/homes/property/CA/San-Francisco/407-Missouri-St-94107/8b88ce902a11e04aecb9,,,,,,,,,,,,,,37.761126,-122.396075
221 Chenery St,"San Francisco, CA, 94131",Neighborhood: Glen Park,"3 bd, 2.5 ba","$2,595,000 ",3,"$3,245 ","$18,772 ","$86,500 ","Contemporary Luxury Fairmount Heights Home. Welcome to 221 Chenery, where a unique blend of cutting edge design seamlessly integrates into functionality,practicality and style.  This  3bed/2.5bath + nursery/office home features a modern chef's kitchen with an open floor plan designed for entertaining. The post-less pocketing doors, 18' ceilings, and high end finishes make it the perfect dream home for the discerning family home buyer. For more info visit www.221chenery.com","Listing provided by Michael P Kramer, Keller Williams San Francisco",http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324416,Succeeded,https://app.realtaasa.com/homes/property/CA/San-Francisco/221-Chenery-St-94131/42c230db2bb671aa450e,,,,,,,,,,,,,,37.7384579,-122.4258447
1450 Franklin St #1302,"San Francisco, CA, 94109",Neighborhood: Van Ness/Civic Center,"3 bd, 3 ba","$4,245,000 ",3,"$5,309 + $440 (HOA)","$30,708 ","$141,500 ","1450 Franklin is a boutique collection of 67 masterfully appointed studio, 1- and 2-bedroom homes and 3-bedroom penthouses in Pacific Heights. Featuring superior finishes, spacious floor plans, private outdoor spaces and breathtaking city views, 1450 Franklin sets a new standard for modern city living. Designed by BDE Architects and Sternberg Benjamin Architects, 1450 Franklin offers carefully curated amenities including a rooftop deck, porte cochre arrival, independent parking spaces, and bicycle parking. Interiors feature hardwood oak floors, Bosch appliances, glass door wine refrigerators, European high gloss cabinets, quartz countertops, Hansgrohe faucets and fixtures and frameless shower doors. All renderingss are representative.","Listing provided by Garrett R Frakes, Polaris Pacific",http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324393,Succeeded,https://app.realtaasa.com/homes/property/CA/San-Francisco/1450-Franklin-St-1302-94109/f4935a62bcf6a2138f79,,,,,,,,,,,,,,37.7881078,-122.4233468
2230 Bush St,"San Francisco, CA, 94115",Neighborhood: Lower Pacific Heights,"3 bd, 3 ba","$4,995,000 ",3,"$6,247 + HOA","$36,133 ","$166,500 ","Dwell Magazine-featured adaptive reuse artistic loft masterpiece set in a former Chinese Laundry/Tooth Powder Factory in the enviable Lower Pac Heights/Fillmore District. Feels like a single-family home in design, layout, and comforts. ~3600 sq', 3 bedrooms/baths, this voluminous space features +/-17' ceilings, 2 internally sited customized cantilevered shipping containers, teak vanities, Wolf & Sub-Zero appliances, and 2-car garage. Custom artisan details throughout. Additional 800+ sq' of outdoor living : Japanese hot tub and shower, grill, and massive catamaran-style hammock. Privacy, sophistication, true NY SOHO loft living in an established vibrant neighborhood. 98 Walk Score;6 Michelin-starred restaurants nearby. No HOA dues.","Listing provided by Payton R Stiewe, Pacific Union International Inc.",http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324143,Succeeded,https://app.realtaasa.com/homes/property/CA/San-Francisco/2230-Bush-St-94115/210eb4df86be8e148678,,,,,,,,,,,,,,37.7870529,-122.4340451
301 Main St #37B,"San Francisco, CA, 94105",Neighborhood: South Beach,"3 bd, 3.5 ba","$12,500,000 ",3,"$15,632 + $409 (HOA)","$90,423 ","$416,667 ","Fall in Love. San Francisco's Premier Penthouse home occupies the entire Eastern half of the Top Floor of Tower I at The Infinity. The floor to Ceiling Windows gaze onto Water and Bridge views from every room. This dream home ideally located along San Francisco's Waterfront Embarcadero offers true indoor / outdoor resort living with three separate outdoor spaces, 10.5 foot ceilings, imported marble floors, Studio Becker Cabinets, Chef's Kitchen, Viking & Thermador appliances, custom Studio Becker closet treatments, pre-wired custom Smart Audio/Video/ Lighting, and custom motorized window coverings. Three Car Deeded Parking. Amenities include 24 hr doorman, concierge, security, gym, sauna, lap pool, club room, business center and Theater.","Listing provided by Paul Hwang, Skybox Realty",http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324352,Succeeded,https://app.realtaasa.com/homes/property/CA/San-Francisco/301-Main-St-37B-94105/0e2f55a5793f1301dade,,,,,,,,,,,,,,37.789525,-122.3911753
106-108 Sadowa St,"San Francisco, CA, 94112",Neighborhood: Oceanview,"4 bd, 2 ba","$799,000 ",4,$749 ,"$4,335 ","$19,975 ","Great opportunity to own a home in San Francisco. Lowest price duplex in town. Priced to sell! Well maintained two-unit with 2 separate street numbers, entries and PG&E meters. each unit has 2 bedrooms & 1 bath, kitchen. Granite counter top plus sun room.It's a great opportunity  to live in one unit and collect rent on the other.  A block away from M car and Muni bus stop. Super convenient access to freeway.  Nice and low maintenance backyard with a deck.  Must See!","Listing provided by Cecilia Z Mu, Century 21 Realty Alliance Fine Homes and Estates",http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324387,Succeeded,https://app.realtaasa.com/homes/property/CA/San-Francisco/106-108-Sadowa-St-94112/d68b14e24a10b852df3d,,,,,,,,,,,,,,37.7124054,-122.4565118
131 Raymond Ave,"San Francisco, CA, 94134",Neighborhood: Visitacion Valley,"4 bd, 2 ba","$798,888 ",4,$749 ,"$4,334 ","$19,972 ","You'll experience pride of ownership when you move into your new home at 131 Raymond Ave in San Francisco. Don't miss out on this amazing 4 bed, 2 bath, 1 car garage, with a bonus room. This house has a vintage General Electric stove, stone counter tops, large bedrooms, lots of closets, and storage space.  This is definitely a home you don't want to pass up!  You'll enjoy Visitacion Valley's wonderful weather, easy access to the freeway, public transportation including the Caltrain, shopping, community centers, public library, and parks!","Listing provided by Moises Pelayo, KW Peninsula Estates",http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324376,Succeeded,https://app.realtaasa.com/homes/property/CA/San-Francisco/131-Raymond-Ave-94134/2e0a4fcfbea50bf4f449,,,,,,,,,,,,,,37.7126692,-122.4060211
4 Richards Cir,"San Francisco, CA, 94124",Neighborhood: Bayview,"4 bd, 2.5 ba","$848,000 ",4,$795 ,"$4,601 ","$21,200 ","Nestled in a serene cul-de-sac, this tri-level, remodeled 4 bedroom 2.5 bath defines easy living. Ideal for entertaining, the main level of the home features an open floor plan, with a dining room and living room combination, a chef's kitchen with stainless steel appliances, ample cabinet space, subway tiles and elegant countertops.  Enjoy al fresco dining on the spacious deck with stunning views. On the third level, there are 2 good sized bedrooms with ample closet space, and a large full bathroom. The master bedroom boasts a private deck.In unit washer-dryer, hardwood floors, 2 car parking; convenient public trans. EZ access to 280 and 101.","Listing provided by Michelle K Pender, Paragon Real Estate Group",http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324342,Succeeded,https://app.realtaasa.com/homes/property/CA/San-Francisco/4-Richards-Cir-94124/7a52acd443a3b275b8da,,,,,,,,,,,,,,37.7355892,-122.3862092
900 Girard St,"San Francisco, CA, 94134",Neighborhood: Visitacion Valley,"4 bd, 2 ba","$898,000 ",4,$842 ,"$4,872 ","$22,450 ","Rarely available fully detached, corner property with city and panoramic views! 4 bedrooms, 2 baths, 2 car garage. Huge backyard. Huge garage area. Tons of improvement potential. 1900 square feet (county records) of living space. A diamond in the rough & sizable piece of San Francisco.","Listing provided by Joy R. Dodds, Better Homes and Gardens Real Estate J.F. Finnegan Realtors",http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324202,Succeeded,https://app.realtaasa.com/homes/property/CA/San-Francisco/900-Girard-St-94134/33e82446bda635e6e22d,,,,,,,,,,,,,,37.7210167,-122.4021842
